file,model,source,condition,locality,reference,hypothesis,normalized_ref,normalized_hyp,latency_s,wer,cer,entity_hit
13-00272-06,deepgram,gramvaani,telephony,N/A,में की बोली गयी है कि बारह बजे दिन से से दो बजे तक ही ताजिया,अखिल मैं बोली गई है कि बारह बजे दिन से दो बजे तक के साथ या,mem ki boli gayi hai ki baraha baje dina se se do baje taka hi tajiya,akhila maim boli gai hai ki baraha baje dina se do baje taka ke satha ya,1.035,0.4375,0.2898550724637681,
01-12107-01,deepgram,gramvaani,telephony,N/A,ने छात्र को को इस आधार पर अनुमति दी है कि उसने दो हज़ार अठारह रा राष्ट्रीय पात्रता एवं प्रवेश परीक्षा क्षा असक्षम लोगों के वर्ग में पास की है,ने छात्रों को इस आधार पर अनुमति दी है कि उसने दो हज़ार अठारह पर राष्ट्रीय पात्रता एवं प्रवेश परीक्षा असक्षम लोगों के वर्ग में पास की,ne chatra ko ko isa adhara para anumati di hai ki usane do hazara atharaha ra rashtriya patrata evam pravesha pariksha ksha asakshama logom ke varga mem pasa ki hai,ne chatrom ko isa adhara para anumati di hai ki usane do hazara atharaha para rashtriya patrata evam pravesha pariksha asakshama logom ke varga mem pasa ki,0.482,0.16666666666666666,0.09146341463414634,
01-11453-01,deepgram,gramvaani,telephony,N/A,रेलवे में गेट मैन के लिए एक हज़ार चार सौ उनासी पदों के लिए करें अप्लाई ख़बर है पटना से पूर्व मध्य रेल ने एक हज़ार चार सौ उनासी पदों के लिए,railway में gateman के लिए एक हज़ार चार सौ उनासी पदों के लिए करें apply खबर है पटना से पूर्व मध्य rail ने एक हज़ार चार सौ उन्नासी पदों के लिए,relave mem geta maina ke lie eka hazara chara sau unasi padom ke lie karem aplai kabara hai patana se purva madhya rela ne eka hazara chara sau unasi padom ke lie,railway mem gateman ke lie eka hazara chara sau unasi padom ke lie karem apply khabara hai patana se purva madhya rail ne eka hazara chara sau unnasi padom ke lie,0.458,0.21875,0.1111111111111111,
01-01599-03,deepgram,gramvaani,telephony,N/A,की बहुत सी तरह की बीमारियाँ जो उत्प्न्न होती हैं जो की किसान भाई लोग काफ़ी दुःख छूटे हुए हैं और ऐसे ही मतलब बहुत सारे किसान हैं लेकिन फिर भी ये उर्वरक हमेशा डालतें हैं और आज तक हमारी झारखण्ड सरकार हैं की कुछ,जी बहुत ही तरह की बीमारियां उत्पन्न होती है जो कि किसान भाई लोग काफ़ी डूब चुके हुए हैं और ऐसे ही मतलब बहुत सारे किसान हैं लेकिन फिर भी यह rural हमेशा डालते हैं और आज तक हमारी झारखंड सरकार ऐसी,ki bahuta si taraha ki bimariya n jo utpnna hoti haim jo ki kisana bhai loga kafi duhkha chute hue haim aura aise hi matalaba bahuta sare kisana haim lekina phira bhi ye urvaraka hamesha dalatem haim aura aja taka hamari jharakhanda sarakara haim ki kucha,ji bahuta hi taraha ki bimariyam utpanna hoti hai jo ki kisana bhai loga kafi duba chuke hue haim aura aise hi matalaba bahuta sare kisana haim lekina phira bhi yaha rural hamesha dalate haim aura aja taka hamari jharakhamda sarakara aisi,1.425,0.34782608695652173,0.12941176470588237,
01-10772-03,deepgram,gramvaani,telephony,N/A,योजना लागू किए जाने पर आम लोगों ने सरकार व ज़िला प्रसाशन को बधाई भी दी और अब समाचार खेल से,लागू किए जाने पर आम लोगों ने सरकार व जिला प्रशासन को बधाई भी दी और अब समाचार खेल से,yojana lagu kie jane para ama logom ne sarakara va zila prasashana ko badhai bhi di aura aba samachara khela se,lagu kie jane para ama logom ne sarakara va jila prashasana ko badhai bhi di aura aba samachara khela se,0.433,0.14285714285714285,0.09009009009009009,
koramangala-quiet,sarvam,self,quiet,Koramangala,haan bhai main koramangala mein rehta hoon kab aana hai,"हाँ भाई, मैं कोरामंगला में ही रहता हूँ। कैब आना है?",haan bhai main koramangala mein rehta hoon kab aana hai,ha n bhai maim koramamgala mem hi rahata hu n| kaiba ana hai,2.124,1.1,0.2727272727272727,1.0
indranagar-quet,sarvam,self,quiet,Indiranagar,mera ghar indiranagar mein hai 100 feet road ke paas,"मेरे घर इंद्रानगर मेन है, 100 फीट रोड के पास।",mera ghar indiranagar mein hai 100 feet road ke paas,mere ghara imdranagara mena hai 100 phita roda ke pasa|,2.096,0.7,0.28846153846153844,1.0
whitefield-quiet,sarvam,self,quiet,Whitefield,office whitefield mein hai roz ghanta bhar jaata hoon,"ऑफिस वाइट फील्ड में है, रोज़ घंटा बाहर जाता हूँ।",office whitefield mein hai roz ghanta bhar jaata hoon,ऑphisa vaita philda mem hai roza ghamta bahara jata hu n|,2.086,1.1111111111111112,0.4339622641509434,1.0
electroniccity-quite,sarvam,self,quiet,Electronic City,haan electronic city phase one mein kaam karta hoon,"हाँ, इलेक्ट्रॉनिक सिटी फेस वन मेन काम करता हूँ।",haan electronic city phase one mein kaam karta hoon,ha n ilektraॉnika siti phesa vana mena kama karata hu n|,2.151,1.2222222222222223,0.43137254901960786,1.0
Marathahalli-quiet,sarvam,self,quiet,Marathahalli,main marathahalli mein rehta hoon bridge ke paas wala area,"मैं इन मरतहल्ली में रहता हूँ, ब्रिज के पास वाला एरिया है।",main marathahalli mein rehta hoon bridge ke paas wala area,maim ina maratahalli mem rahata hu n brija ke pasa vala eriya hai|,2.195,1.2,0.43103448275862066,1.0
Jayanagar-noisy,sarvam,self,noisy,Jayanagar,jayanagar mein flat dhundh raha hoon koi option hai kya,"जया नागर में फ्लैट ढूंढ रहा हूँ, कोई ऑप्शन है क्या?",jayanagar mein flat dhundh raha hoon koi option hai kya,jaya nagara mem phlaita dhumdha raha hu n koi ऑpshana hai kya,2.202,0.8,0.3090909090909091,1.0
Rajajinagar-noisy,sarvam,self,noisy,Rajajinagar,bhai rajajinagar se majestic kitna time lagta hai,भाई राजाजीनगर से मैजेस्टिक कितना टाइम लगता है?,bhai rajajinagar se majestic kitna time lagta hai,bhai rajajinagara se maijestika kitana taima lagata hai,2.138,0.625,0.16326530612244897,1.0
Hebbal-noisy,sarvam,self,noisy,Hebbal,main hebbal flyover ke paas hoon abhi traffic mein hoon,"मेन हेब्बल फ्लाईओवर के पास हूं अभी, ट्रैफिक में हूं।",main hebbal flyover ke paas hoon abhi traffic mein hoon,mena hebbala phlaiovara ke pasa hum abhi traiphika mem hum|,2.091,0.8,0.45454545454545453,1.0
yelahanka-noisy,sarvam,self,noisy,Yelahanka,yelahanka new town mein ek room chahiye budget kam hai,"इलाहन का न्यू टाउन में एक रूम चाहिए, बजट कम है।",yelahanka new town mein ek room chahiye budget kam hai,ilahana ka nyu tauna mem eka ruma chahie bajata kama hai|,2.083,1.1,0.42592592592592593,0.0
banashankari-noisy,sarvam,self,noisy,Banashankari,banashankari mein rehti hoon temple ke paas wala area,बनाशंगरी में रहते हों टेम्पुल के पास वाला एरिया।,banashankari mein rehti hoon temple ke paas wala area,banashamgari mem rahate hom tempula ke pasa vala eriya|,2.319,0.8888888888888888,0.33962264150943394,1.0
hsrlayout-rushed,sarvam,self,rushed,HSR Layout,hsr layout second sector mein hoon jaldi batao,"अरे अरे अरे अरे, एचएसआर लेआउट सेकंड सेक्टर में हो, जल्दी जल्दी बटो।",hsr layout second sector mein hoon jaldi batao,are are are are echaesaara leauta sekamda sektara mem ho jaldi jaldi bato|,2.395,1.5,0.9565217391304348,1.0
btmlayout-rushed,sarvam,self,rushed,BTM Layout,btm layout se silk board kitna door hai bhai jaldi,"बीटीएम लेआउट का सिल्क बोर्ड कितना डोर है भाई, जल्दी?",btm layout se silk board kitna door hai bhai jaldi,bitiema leauta ka silka borda kitana dora hai bhai jaldi,2.118,0.7,0.32,1.0
majestic-rushed,sarvam,self,rushed,Majestic,majestic bus stand pe hoon bus nikal jaayegi,"दूसरी बस स्टैंड पे हो हम, बस निकल जाएगी।",majestic bus stand pe hoon bus nikal jaayegi,dusari basa staimda pe ho hama basa nikala jaegi|,2.125,1.0,0.5227272727272727,0.0
silkboard-rushed,sarvam,self,rushed,Silk Board,silk board junction pe jam hai late ho raha hoon,"सिल्क बोर्ड जंक्शन पे जाम है, लेट हो रहा ना हो।",silk board junction pe jam hai late ho raha hoon,silka borda jamkshana pe jama hai leta ho raha na ho|,2.152,0.7,0.375,1.0
bellandur-rushed,sarvam,self,rushed,Bellandur,bellandur mein hoon cab book karo jaldi please,"वेलोंदूर मेन हॉन, क्या बुक कर दो जल्दी प्लीज प्लीज प्लीज प्लीज प्लीज प्लीज।",bellandur mein hoon cab book karo jaldi please,velomdura mena haॉna kya buka kara do jaldi plija plija plija plija plija plija|,3.162,1.625,1.1304347826086956,0.0
sarjapur-whisper,sarvam,self,whisper,Sarjapur,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,"सरजाबूर रोड पे एक पेज ढूंढ रहा हूँ, अफोर्डेबल चाहिए।",sarjapur road pe ek pg dhundh raha hoon affordable chahiye,sarajabura roda pe eka peja dhumdha raha hu n aphordebala chahie|,2.373,0.9,0.3448275862068966,1.0
bommanahalli-whisper,sarvam,self,whisper,Bommanahalli,bommanahalli mein rehta hoon kaam ke liye apply karna tha,"वह माली में रहता हूँ, काम के लिए अप्लाई करना था।",bommanahalli mein rehta hoon kaam ke liye apply karna tha,vaha mali mem rahata hu n kama ke lie aplai karana tha|,2.555,1.1,0.38596491228070173,0.0
krpuram-whisper,sarvam,self,whisper,KR Puram,kr puram station ke paas hoon koi job hai kya paas mein,"कैपी फार्म स्टेशन के पास हूँ, कोई जॉब है क्या पास में?",kr puram station ke paas hoon koi job hai kya paas mein,kaipi pharma steshana ke pasa hu n koi jaॉba hai kya pasa mem,2.225,0.75,0.43636363636363634,0.0
peenya-whisper,sarvam,self,whisper,Peenya,peenya industrial area mein supervisor ka kaam chahiye,पेन या इंटेस्ट्रल एरिया में इन सुपरवाइजर का क्या हम चाहिए?,peenya industrial area mein supervisor ka kaam chahiye,pena ya imtestrala eriya mem ina suparavaijara ka kya hama chahie,2.156,1.25,0.46296296296296297,1.0
yeshwanthpur-whisper,sarvam,self,whisper,Yeshwanthpur,yeshwanthpur se koi factory job milegi kya experience hai,यशवंतपुर से कोई फैक्ट्री जॉब में लेंगे क्या एक्सपीरियंस है ये?,yeshwanthpur se koi factory job milegi kya experience hai,yashavamtapura se koi phaiktri jaॉba mem lemge kya eksapiriyamsa hai ye,2.131,0.7777777777777778,0.5614035087719298,1.0
01-04397-02,sarvam,gramvaani,telephony,N/A,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,बेईमानी और भ्रष्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलीय मालामाल हो रहे हैं।,beimani aura bhrastachari ki vajaha se janapratinidhi adhikari va bichaulie mala mala ho rahe haim,beimani aura bhrashtachari ki vajaha se janapratinidhi adhikari va bichauliya malamala ho rahe haim|,2.52,0.3333333333333333,0.05102040816326531,
01-01025-03,sarvam,gramvaani,telephony,N/A,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,कि बच्चे लेने वालों की संख्या में अब समय आ गया है कि इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे। कौन जानता है?,ki bachche lene valom ki samkhya aba samaya a gaya hai ina bachchom ka jimma sarakara le aura garbhapata para roka laga de kauna janata hai,ki bachche lene valom ki samkhya mem aba samaya a gaya hai ki ina bachchom ka jimma sarakara le aura garbhapata para roka laga de| kauna janata hai,2.735,0.11538461538461539,0.05755395683453238,
01-09868-01,sarvam,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,"नमस्कार, आदाब श्रोताओं। मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ। मानसून की बारिश से पानी।",namaskara adaba shrotaom maim shveta bihara mobaila vani para pesha karati hu n shama ki surkhiya n manasuna ki barisha se pani,namaskara adaba shrotaom| maim shveta bihara mobaila vani para pesha karati hu n shama ki surkhiya n| manasuna ki barisha se pani|,2.684,0.13636363636363635,0.023622047244094488,
01-08600-03,sarvam,gramvaani,telephony,N/A,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,लगाने का विकल्प मिल सकता है। श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है। ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है।,lagane ka vikalpa mila sakata hai shrama mamtralaya nivesha para maujuda kaipa ko hatane ke lie niti bana raha hai aisa hone para piepha khata dharakom ko jyada ritarna pane ka mauka mila sakata hai,lagane ka vikalpa mila sakata hai| shrama mamtralaya nivesha para maujuda kaipa ko hatane ke lie niti bana raha hai| aisa hone para piepha khata dharakom ko jyada ritarna pane ka mauka mila sakata hai|,3.316,0.08571428571428572,0.015151515151515152,
01-07995-03,sarvam,gramvaani,telephony,N/A,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,मदूरा लसा जैसी सामाजिक दवाई ने आज हमारे समाज के रमदास को एक बड़ी शराब में केवल लाखों हॉस्पिटल के परिवारों को रोने पर मजदूर कर दिया।,madira nasha jaisi samajika burai ne aja hamare samaja emva rashtra ko eka ba di sharaba na kevala lakhom ha nsate khelate parivarom ko rone para majabura kara diya,madura lasa jaisi samajika davai ne aja hamare samaja ke ramadasa ko eka ba di sharaba mem kevala lakhom haॉspitala ke parivarom ko rone para majadura kara diya|,2.595,0.3793103448275862,0.18902439024390244,
01-05263-01,sarvam,gramvaani,telephony,N/A,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,रूप में रहता है। आजकल तो लड़के वाले दहेज के अलावा लड़की के लिए 10 से 20 वर्षों में।,mem rahata hai ajakala to la daki vale daheza ke alava la daki ke la daki ke lie dasa se bisa hazara,rupa mem rahata hai| ajakala to la dake vale daheja ke alava la daki ke lie 10 se 20 varshom mem|,2.381,0.5,0.34,
01-03411-01,sarvam,gramvaani,telephony,N/A,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,"राजू तिवारी, आलोक कुमार के अलावा कई लोग उपस्थित थे। इसी के साथ मैं शिव नारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडी बोकारो से।",raju tivari aloka kumara ke alave kai loga upasthita the isi ke satha maim shivanarayana riportara bokaro mobaila midiya jaridiha bokaro se,raju tivari aloka kumara ke alava kai loga upasthita the| isi ke satha maim shiva narayana riportara bokaro mobaila midiya jaridi bokaro se|,2.89,0.2727272727272727,0.04316546762589928,
02-16304-01,sarvam,gramvaani,telephony,N/A,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,आज देखा जा रहा है कि हमारे धान के खेत धान मरने की स्थिति में हो गई थी। आज एक मुनाई झारखंड में हमारी बारिश होने का।,aja dekha ja raha hai ki hamare dhana ke kheta dhana marane ki sthiti mem ho gae thi thi aja isa nae jharakhanda mem hamari barisha hone ka,aja dekha ja raha hai ki hamare dhana ke kheta dhana marane ki sthiti mem ho gai thi| aja eka munai jharakhamda mem hamari barisha hone ka|,2.596,0.25,0.08633093525179857,
01-00703-03,sarvam,gramvaani,telephony,N/A,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,गठित की है और जांच चल रही है। बावजूद भी कोयला का अवैध उत्खनन एवं तस्करी बद्ध सूत जारी है। सीसीएल की ढोली पर क्षेत्र के तारवी परियोजना स्थित है।,gathita ki hai aura ja ncha chala rahi hai bavajuda ki koyala ka avaidha utkhanana evam taskari badkasura jari hai sisiela dhori prakshetra ke tarani pariyojana sthita,gathita ki hai aura jamcha chala rahi hai| bavajuda bhi koyala ka avaidha utkhanana evam taskari baddha suta jari hai| sisiela ki dholi para kshetra ke taravi pariyojana sthita hai|,3.206,0.48148148148148145,0.1317365269461078,
01-00666-01,sarvam,gramvaani,telephony,N/A,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,"एक कुशल प्रतिभागी को दिया, मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रतिभागी पर अपने विचार लिखित रूप से जिम्मा किया। मेरे धन्यवाद से धन्यवाद।",pratibhagiyom ko diya mauke para darjanom sadasyom ne bhaga liya evam prati para apane vichara likhita rupa se jama kiya maim radhu raya mahuda dhanabada se,eka kushala pratibhagi ko diya mauke para darjanom sadasyom ne bhaga liya evam pratibhagi para apane vichara likhita rupa se jimma kiya| mere dhanyavada se dhanyavada|,2.894,0.46153846153846156,0.27564102564102566,
01-01992-01,sarvam,gramvaani,telephony,N/A,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,"करोड़ रुपए में किया हुआ है, जैसे कि किसी व्यक्ति के नाम पर दस हज़ार, बीस हज़ार, पच्चीस हज़ार, तीस हज़ार रुपए तक बाक़ाया हो जाता है।",karo dom rupaya mem mila hua hai vaise bhi kisi bachchi ke nama para dasa hajara bisa hajara pachchisa hajara tisa hajara rupaya taka bakaya ho jata hai,karo da rupae mem kiya hua hai jaise ki kisi vyakti ke nama para dasa hazara bisa hazara pachchisa hazara tisa hazara rupae taka baqaya ho jata hai|,2.903,0.4642857142857143,0.1513157894736842,
01-04281-03,sarvam,gramvaani,telephony,N/A,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,कोई विश्वासीय खाका है जिसको आप जानते हैं? बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाश्री सिंह मनोहर।,koi vishvasaniya khaka hai jisako apa janate haim haim bihara mobaila vani ke lie khajauli madhubani se ramashisha simha dhanyavada,koi vishvasiya khaka hai jisako apa janate haim bihara mobaila vani ke lie khajauli madhubani se ramashri simha manohara|,2.869,0.2,0.13740458015267176,
01-04493-02,sarvam,gramvaani,telephony,N/A,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,"नमस्कार, मैं मधुबानी मोबाइल वाणी के लिए मैं मधलापुर तारघाट से राजकिशोर जादा। मधलापुर प्रखंड के बलवा गाँव में 11,000 तार ऊपरी चौरों जाने वाली सड़क पर आज सुबह गिर गया है। 11,000 तार गिर जाने से।",namaskara madhubani mobaila vani ke lie maim madhavapura saharaghata se rajakishora yadava madhavapura prakhamda ke balava ga nva mem gyaraha hajara tara pupari ki ora jane vali sa daka para aja subaha gira gaya hai gyaraha hajara tara gira jane se,namaskara maim madhubani mobaila vani ke lie maim madhalapura taraghata se rajakishora jada| madhalapura prakhamda ke balava ga nva mem 11 000 tara upari chaurom jane vali sa daka para aja subaha gira gaya hai| 11 000 tara gira jane se|,3.326,0.34146341463414637,0.1935483870967742,
01-08776-01,sarvam,gramvaani,telephony,N/A,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,इस कार्य में काफी संघर्ष का सामना करना पड़ा। अब उन्होंने अर्पन नेचर सेवर ग्रुप बनाकर झील की दोबारा खूबसूरती लाने का बढ़सक प्रयास कर रहे हैं।,isa karya mem kafi samgharsha ka samana karana pa da aba unhomne arpana nechara savera grupa banakara jhi jhila ki dubara khubasurati lane ka bharasaka prayasa kara rahe haim,isa karya mem kaphi samgharsha ka samana karana pa da| aba unhomne arpana nechara sevara grupa banakara jhila ki dobara khubasurati lane ka ba dhasaka prayasa kara rahe haim|,3.348,0.27586206896551724,0.08620689655172414,
01-10651-02,sarvam,gramvaani,telephony,N/A,की वजह से जनता को परेशान होना पड़ेगा पुलिस मुख्यालय की पहल को नया नंबर अलोट करने का निर्णय लिया,इसकी वजह से जनता को परेशान होना पड़ेगा। पुलिस मुख्यालय की पहल को नया नंबर अलॉट करने का निर्णय लिया।,ki vajaha se janata ko pareshana hona pa dega pulisa mukhyalaya ki pahala ko naya nambara alota karane ka nirnaya liya,isaki vajaha se janata ko pareshana hona pa dega| pulisa mukhyalaya ki pahala ko naya nambara alaॉta karane ka nirnaya liya|,2.877,0.19047619047619047,0.059322033898305086,
01-00622-03,sarvam,gramvaani,telephony,N/A,जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हमलोग बैठक चलाते हैं तो उसमे बरसात के सीजन में पानी घुस जाता है और धँसने वाला भी है है कहीं बैठक के समय धँस गया तो फिर लोगों की,तो जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हम लोग बाइक चलाते हैं तो उसमें वर्षा का सीजन में पानी घुस जाता है और दसने का वाला भी है कहीं बैठे समय दस जाएगा तो फिर लोगों की,jo bhi hai pahale ka pamchayata bhavana purana tutala phutala usamem hamaloga baithaka chalate haim to usame barasata ke sijana mem pani ghusa jata hai aura dha nsane vala bhi hai hai kahim baithaka ke samaya dha nsa gaya to phira logom ki,to jo bhi hai pahale ka pamchayata bhavana purana tutala phutala usamem hama loga baika chalate haim to usamem varsha ka sijana mem pani ghusa jata hai aura dasane ka vala bhi hai kahim baithe samaya dasa jaega to phira logom ki,2.825,0.3488372093023256,0.14225941422594143,
01-10039-03,sarvam,gramvaani,telephony,N/A,ये खुल गया प्राइस बैंड चार सौ अठारह से चार सौ बाईस रूपए और मिनिमम लोट साइज़ इज़ पैंतीस शेयर रखा गया है आई पी ओ दस अगस्ट तक खुला रहेगा,यह खुल गया। प्राइस बैंड 418 से 422 रुपये और मिनिमम लॉट साइज 35 शेयर रखा गया है। आईपीओ 10 अगस्त तक खुला रहेगा।,ye khula gaya praisa baimda chara sau atharaha se chara sau baisa rupae aura minimama lota saiza iza paimtisa sheyara rakha gaya hai ai pi o dasa agasta taka khula rahega,yaha khula gaya| praisa baimda 418 se 422 rupaye aura minimama laॉta saija 35 sheyara rakha gaya hai| aipio 10 agasta taka khula rahega|,2.572,0.6129032258064516,0.3588235294117647,
01-03999-01,sarvam,gramvaani,telephony,N/A,की सर्विस लगा पर रोक लगा कर रख दिया गया है पैदल चलने वाले यात्रियों को बहुत दिक्कत होती हैं साथ ही दो पहिये वाहन तथा चार पहिये वाहन के गुजरने में भारी दिक्कतें होती है,,ki sarvisa laga para roka laga kara rakha diya gaya hai paidala chalane vale yatriyom ko bahuta dikkata hoti haim satha hi do pahiye vahana tatha chara pahiye vahana ke gujarane mem bhari dikkatem hoti hai,none,0.0,1.0,0.9804878048780488,
02-12587-02,sarvam,gramvaani,telephony,N/A,से जिससे हमारा जीवन प्रभावित होती है होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर है आपके सामने,,se jisase hamara jivana prabhavita hoti hai hoti hai aura aja bhi hama eka aise hi mudde ke satha hazira hai apake samane,none,0.0,1.0,0.9669421487603306,
01-11496-02,sarvam,gramvaani,telephony,N/A,अंत में समाचार खेल जगत से एशियाई खेल अंकिता के कांस्य के बाद भारत,,amta mem samachara khela jagata se eshiyai khela amkita ke kamsya ke bada bharata,none,0.0,1.0,0.9876543209876543,
02-12399-02,sarvam,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं देश के कौन कौन से किसान मज़दूर यूनियन काफ़ी संख्या में इकठ्ठा होकर सरकार से अपनी माँगों को लेकर दिल्ली के पार्लियामेंट स्ट्रीट में धरना,,namaskara adaba shrotaom desha ke kauna kauna se kisana mazadura yuniyana kafi samkhya mem ikaththa hokara sarakara se apani ma ngom ko lekara dilli ke parliyamemta strita mem dharana,none,0.0,1.0,0.9781420765027322,
01-09796-02,sarvam,gramvaani,telephony,N/A,का एलान भारत और इंग्लैंड के बीच नौ अगस्त से लॉर्ड्स में खेले जाने वाले वाले दूसरे टेस्ट मैच के लिए गयी है एक वेस्टर्न टेस्ट में इंग्लैंड ने भारत को इकतीस रन,,ka elana bharata aura imglaimda ke bicha nau agasta se laॉrdsa mem khele jane vale vale dusare testa maicha ke lie gayi hai eka vestarna testa mem imglaimda ne bharata ko ikatisa rana,none,0.0,1.0,0.9836065573770492,
01-07562-01,sarvam,gramvaani,telephony,N/A,आवश्यक है है किन्तु नियोजित शिक्षको की मामले में न्यूनतम वेतन अठारह हजार लागू नहीं किया गया है जिसके लिए,"आवश्यक है, है, किंतु नियोजित शिक्षकों के मामले में न्यूनतम वेतन 18,000 लागू नहीं किया गया है, जिसके लिए।",avashyaka hai hai kintu niyojita shikshako ki mamale mem nyunatama vetana atharaha hajara lagu nahim kiya gaya hai jisake lie,avashyaka hai hai kimtu niyojita shikshakom ke mamale mem nyunatama vetana 18 000 lagu nahim kiya gaya hai jisake lie|,2.653,0.3,0.144,
01-04320-03,sarvam,gramvaani,telephony,N/A,मुंगेर नगर निगम की बदहाली व्यवस्था के कारण शहर वासियों को शुद्ध पेय जल नहीं मिल रहा है नगर निगम के साथ संचालित कस्तुरबा वॉटर वर्क्स,मुंगेर नगर निगम की बदहालत व्यवस्था के कारण शहरवासियों को शुद्ध पेयजल नहीं मिल रहा है। नगर निगम के साथ संचालित सुरवा वाटर बॉक्स।,mumgera nagara nigama ki badahali vyavastha ke karana shahara vasiyom ko shuddha peya jala nahim mila raha hai nagara nigama ke satha samchalita kasturaba vaॉtara varksa,mumgera nagara nigama ki badahalata vyavastha ke karana shaharavasiyom ko shuddha peyajala nahim mila raha hai| nagara nigama ke satha samchalita surava vatara baॉksa|,2.86,0.34615384615384615,0.08284023668639054,
01-08017-03,sarvam,gramvaani,telephony,N/A,के बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में इनका आ आरक्षण मिले और उसका विकास हो आने वाले दिन में,"एक बेहतरीन महिला को, एक पारदर्शी महिला को पंचायत में इसका आरक्षण मिले और इसका विकास हो आने वाले दिन में।",ke behatarina mahila ko eka paradarshi mahila ko pamchayata mem inaka a arakshana mile aura usaka vikasa ho ane vale dina mem,eka behatarina mahila ko eka paradarshi mahila ko pamchayata mem isaka arakshana mile aura isaka vikasa ho ane vale dina mem|,2.754,0.22727272727272727,0.056,
01-10457-02,sarvam,gramvaani,telephony,N/A,इस देश के कई भाग से हैं जहाँ सिंचाई सुविधा के आभाव मैं बारिश पर निर्भर रहते हैं अगर बारिश समय पर नहीं हुए तो सारा फसल बर्बाद अब ऐसे मैं किसान करे तो क्या करे,इस देश के कई भाग ऐसे हैं जहां अधिकांत सिंचाई सुविधा के अभाव में खेल रही बारिश पर निर्भर रहते हैं और अगर बारिश समय पर नहीं हुई तो सारा फसल बर्बाद अब ऐसे में किसान करें तो क्या करें,isa desha ke kai bhaga se haim jaha n simchai suvidha ke abhava maim barisha para nirbhara rahate haim agara barisha samaya para nahim hue to sara phasala barbada aba aise maim kisana kare to kya kare,isa desha ke kai bhaga aise haim jaham adhikamta simchai suvidha ke abhava mem khela rahi barisha para nirbhara rahate haim aura agara barisha samaya para nahim hui to sara phasala barbada aba aise mem kisana karem to kya karem,3.115,0.2972972972972973,0.17,
