file,model,source,condition,locality,reference,hypothesis,latency_s
02-15827-01,whisper,gramvaani,telephony,N/A,सहकारी मुखिया सिकंदर  दिवाकर महतो उमेश कुमार चौबे चौबे मिथिलेश महाराज विनीत जैसवाल सोहेल अंसारी ने,दिनिधी सहजारी मुख्या किकंदर कपण्डा शिवाकर मातो उन्हेश कुमार चोगे नोगे वितलेश महराज विनीत जैसवाल तोहल अंतारी ने,5.621
01-11055-03,whisper,gramvaani,telephony,N/A,कि कोई भी परेशानी होने पर आम लोग उनसे सीधा संपर्क कर सकते हैं एवं उनका हर मदद किया जाएगा इस कार्यक्रम को लेकर वहाँ उपस्थित लोगों के बीच,कि कोई भी परिशानी होने पर आम लोग उनसे सीधा संपाग कर सकते हैं एवं उनका हर मदद किया जाएगा इस कारिक्रम को लेकर वहां उपस्थित लोगों के बीच,6.341
01-10891-03,whisper,gramvaani,telephony,N/A,सरकारी विमान कंपनी एयर इंडिया के पायलटों के  अपने उड़ान भत्तों के बकायें का तत्काल भुगतान नहीं होने पर परिचालन पायलटों का कहना है कि अन्य कर्मचारियों के वेतन और भत्तों का देर से ही सही लेकिन पूरा भुगतान हो रहा हैं,सरकारी विमान कंपनी Air India के पाइलोटों के एकने अपने उरान भट्तों के बगाय का ततकाल भुक्तान नहीं होने पर परिचालन रूप पाइलोटों का कहना है कि अने करमचारियों के वेतन और भट्तों का देव सही सही लेकिन पूरा भुक्तान हो रहा है,28.452
02-18071-01,whisper,gramvaani,telephony,N/A,हम लोगों को वेतन नहीं दिया जा रहा हैं इधर जिस आवास में हम लोग रहते हैं उस उसके मालिक को भी कंपनी की और से से ताला बंद करने का फरमान दिया गया है,से हम लोगों को वेदन नहीं दिया जा रहा है इधर जिस आवास में हम लोग रहते हैं उसके मालिक को भी कंपनी की ओर से ताला बंद करने का फर्मान दिया गया है,6.189
02-17099-01,whisper,gramvaani,telephony,N/A,मै रजनी कुमार सिंह जमुई से सोमवार को जिला परिषद की सामान्य बैठक अध्यक्ष व उपाध्यक्ष की,मैं रजनी कुमार सिंग जमूई से सोमवार को जिला परिशत की सामाने बैठक अध्यक्ष वा उपाध्यक्ष की,4.366
01-06730-01,whisper,gramvaani,telephony,N/A,है काफी प्रदूषण को लेकर आम लोगों को भी को भी जागरूक होने जरुरत है अन्यथा एक ऐसा समय आएगा जब प्रदूषण के दूषण के कारण जीवन  धन्यवाद,प्रदुषन के लिए आम लोगों को भी जागनूत को हो जावत जरुवत है या ना था एक ऐसा समय आएगा जब परदुषन के दुषन के कारण जीवन जागनूत है धन्यवाद,6.808
01-10262-03,whisper,gramvaani,telephony,N/A,उद्देश्य है तभी तो इसमें सरकारी खर्च कल्याणकारी योजनाओं का चयन उनकी योजना का निष्पादन के तरीके और अनुवर्ती तरीके की लिए बहुत सारी विधियाँ होंगी,"उदेश्य है तभी तो इसमें सरकारी खर्च, कल्यानकारी योजनाओं का चैन, उनकी योजना का निष्पादन के तरीके और अनुवर्ती तरीके के लिए बहुत सारी विधियां होंगी।",6.977
01-03753-01,whisper,gramvaani,telephony,N/A,ग्राम पंचायत द्वारा प पानी की कोई सुविधा नहीं की जा रही है है यदि दि ग्राम पंचायत त द्वारा प पानी की कुछ की गयी है है तो,ग्राम पंचर द्वारा पानी की कोई सुवधा नहीं की जा रही है यदि ग्राम पंचर द्वारा पानी की की जा रही है तो,4.835
01-01568-03,whisper,gramvaani,telephony,N/A,और गुप्त रूप से छापामारी कर कार्रवाई करने का मापदंड अपनाने चाहिए मैं तेजनरायण ब्रह्मर्षि शान्ति प्रेरक की ओर से बिहार मोबाइल वाणी के लिए मधुबनी से से धन्यवाद,और गुफ्तुरिक से शाता मारी कर तादवाई करते का माफ़दन अपना ने चाहिए मैं तेर नेंद्र मर्शी सांचिक लगती ओर से प्यार मोबाइल वाली के लिए मत्रणिके दन्वार,7.001
01-00990-03,whisper,gramvaani,telephony,N/A,दो महिना बीत जाने के बाद भी पोषाहार जो आंगनबाड़ी केन्द्रों धातृ माता बच्चों को दिया जाना है वो नहीं दी गई मैं झारखण्ड मोबाइल वाणी के माध्यम से,तो महिना बिट जाने के बाद भी उसाहार श्वागनवारी केंद्रो मात्रिमा का बच्चों को दिया जाना है। उत्ती नहीं की गई। मैं धारखन मुझवाली वाली के बाद जानते हूँ।,7.354
01-11618-03,whisper,gramvaani,telephony,N/A,इस मौके पर कम्युनिटी के सदस्य अद्या अमित कुमार भगत संपन गुप्ता सचिन नवीन बर्णवाल महासचिव सजन गुप्ता कोषाध्यक्ष मुन्ना केसरी प्रवीण मिश्रा राजेश मिश्रा भूपेश सिन्हा,"इस मौतिपर कहोई के सदस्याद्य अनित्समार भगत, संपंपंपंपं गुप्ता, सचुन नविन बन्डवाल, मासचुन रजन गुप्ता, कोशा जोख मुन्ना केसी, प्रदिमिनिश्र राजिस्मिश्ला बुपेज सिना",8.253
01-04428-03,whisper,gramvaani,telephony,N/A,सात प्रखंड कार्यालय में आधार कार्ड बनाने के लिए आयोजित तीन दिवसीय शिविर आज गुरुवार को समापन हो गया तीसरे और अंतिम दिन आधार कार्ड बनाने के लिए लोगो की काफी काफी भीड़ उमड़ पड़ी थी,प्रखन काजार में अधार कार बनाने के लिए आज गुरुबार कोई स्वापन हो गया। इस वे रंशीन दिन अधार कार बनाने के लिए लोगों की काफी काफी विल्व उमर पड़ी थी।,7.338
02-13646-02,whisper,gramvaani,telephony,N/A,नमस्कार दोस्तों गिद्धौर मोबाइल वाणी से मैं संजीवन कुमार सिंह सुहागिन महिलाओं ने पति के दीर्घआयु के लिए आज रखा है निर्जला उपवास पति के दीर्घ आयु के लिए सुहागिन महिलाओं ने,हुआ है नमस्कार दोस्तों यह वॉइट को वाला ने संजीवल कमाथी स्वागिन महीलाओं ने पत्ती के दिलगायों के लिए आए रखा है ने जवास व्हाट पत्ती के दिलगायों के लिए प्रोग्रम महीलाओं ने,32.841
01-05501-03,whisper,gramvaani,telephony,N/A,देख छप्पन इंच का सीना आतंकवादियों को आया पसीना कह रहा है हिन्दू हिंदुस्तान सुधर जाओ रे पाकिस्तान,जेख सपन इंच कर देना आत्मवादियों को आया पद देना कहा रहा है हिंदु हिंदुस्तान सुधर जावरे पाकिस्तान,4.831
01-01738-02,whisper,gramvaani,telephony,N/A,भ्रष्टाचार शिष्टाचार बन गया है सभी जगह घूसखोरी निगरानी द्वारा उसी को पकड़ा जा रहा है जिस पर कोई पब्लिक पड़ गए हो और उसे पकड़वाया हो,"ब्रह्षाचा शिकाचार बन गया है, सवी जगग उश्कोरी, निग्रान उजवारा उसी को पकड़ा जा रहा है जिस पर कोई पब्लिक पड़ गये हो और उसे पकड़ आया हो।",6.544
02-16847-01,whisper,gramvaani,telephony,N/A,हाथुडीह को मिलेगा जल संकट से निजात चलेगा तालाब जोड़ो अभियान खबर है महुदा से अगर सब कुछ योजनाबद्ध तरीके से हुआ तो तो शीघ्र ही हाथुडीह पंचायत के लोगों,हातु डी को मिलेगा जल संकट से निजात चलेगा तलाब जोडो अभियान खबर है महुदा से अगर सब कुछ योजना बद तरीके से हुआ तो शिगर ही हातु डी पंचायत के लोगों,6.979
13-00315-05,whisper,gramvaani,telephony,N/A,विधायक सांसद जाना तय होगा,दिरायत सांतर रहना पर होगा,1.516
02-17346-01,whisper,gramvaani,telephony,N/A,के अध्यक्षता में संपन्न मंत्री परिषद की बैठक के बैठक के बाद पत्रकारों को सम्बोधित करते हुए मंत्रिमंडल सचिवालय विभाग के प्रधान सचिव,अधिक्षता में समपन मंदृपरिशत की बैठट की बैठट के बाद पद्रकारों को संबोधित करते वे मंदृमंदर सच्चवाले विभार के प्रधान सचिव।,45.768
01-02106-02,whisper,gramvaani,telephony,N/A,और वे लोग भी अपनी मर्जी से तो एक दू महीना सब्जी बेचतें फिर अपने घर के पालन पोषण के लिए दूसरी जगह मजदूरी के लिए पलायन करते हैं,और वह लोग भी दिमार जीत हैं ता एक दू मैना सब्जी देते हैं प्रिज़ा प्राण को संकेजे दूसरे जगा मर्जूरी के लिए प्राइम करते हैं,6.116
02-21859-01,whisper,gramvaani,telephony,N/A,तब तक आप सुनते रहिये हँसी की डोली कार्यक्रम आपके अपने मोबाइल वाणी पर अगर आपको हमारी खट्टी मीठी बातें दोस्तों और परिवार वालो को भी सुनाये,तब तक आप सुनते रहे हैं हसी ठिटोली कारिक्रम आपके अपने मोबाइल बानी पर अगर आपको हमारी खत्ये मिठे बालें दोस्तों और परिवार वालों को भी सुनाएं,6.704
02-22739-01,whisper,gramvaani,telephony,N/A,गुड़िया के लिए शायद वो आगे जानेंगे की माजी के बातों का का हमारे पति पर कितना असर पड़ता है हमारे पति हमारा साथ देंगे तब तक के लिए आप हमें बताइये,गुडिया के लिए शायद वो आगे जानेंगे कि माजी की बातों का हमारे पती पर कितना असर पड़ता है। हमारे पती हमारा साथ देंगे तब तक के लिए आप हमें बताएं।,6.774
01-08047-01,whisper,gramvaani,telephony,N/A,अधिकार की जानकारी दे तथा महिलाएं किसी भी अधिकार पर बहुत कम ही महिलायें भागीदारी ले पाती है क्योकि पंचायत की अधिकतर महिलाएं अशिक्षित होती,अविकार की जानकारी दें तका मलिलाएं किसी भी अविकार पर बहुत कम की मलाएं भाविदाई ले पाती हैं क्योंकि पैंचेक्स ये अविकर मलाएं आशिकित होती हैं,6.391
01-11183-02,whisper,gramvaani,telephony,N/A,है जो जोकि चौथी पारी में असंभव बताया जा रहा है इंग्लैंड ने दिन का खेल ख़त्म होने तक बिना किसी नुकसान के तेईस रन बना लिए हैं,जो की चौती पारी में असंभो बताया जा रहा है इंग्लैंड ने दिन का खेल खत्म होने तक बिना किसी नुकान के 23 रन बना लिये हैं,5.21
02-16015-01,whisper,gramvaani,telephony,N/A,की मदद से अफ़ग़ानिस्तान ने लचर शुरुआत से उबरकर बांग्लादेश के खिलाफ एशियाई कप,की मदद से अफगानिस्तान ने लचर शुरुवात से उबर कर बांगलादेश के खिलाफ एशियाई कब गुणा,4.396
01-06755-01,whisper,gramvaani,telephony,N/A,मैं राधु राय धनबाद मोबाइल मीडिया महुदा झारखंड से लव कुश योजना अधर में लटका चिलचिलाती धुप गर्म हवा गर्मी छियालीस डिग्री पर आम जन प्यासे और पशु पक्षी प्यास के मारे बेहाल पानी की खोज में दूर दूर तक भटक रहे,"मैं राजोरा, दिनबाद मवाल मुड़ी, मोदाजार कंशलापूर्षी योजिना अधर में लड़का, इस पिलाते दो, गर्म हवा, गर्मी, फलिफ दिग्री सा, आमजन, प्यादे, और पतुपत्वी की पत्वजात के मारे दिहाल, आनी की सोम में लोग दुल-दूल तक बच",10.009
01-03176-02,whisper,gramvaani,telephony,N/A,जाने वाले रोड का पक्कीकरण व सौन्दर्यकरण किया जाएगा मौके पर आदिवासी विकास मंच के प्रवक्ता उमित सोरेन,जाने वाले रोड का पक्की करन और सुन्दर्जी करन किया जाएगा मौके पर आदिवासी विकास मंच के प्रवक्ता उमेप्य सोरेन,5.289
01-06865-02,whisper,gramvaani,telephony,N/A,बजे तो सुनना न भूलें लें जनता की रिपोर्ट हर शाम पाँच बजे बजे आपके मोबाइल वाणी पर ध धन्यवाद,तो सुनना न भूले जनता की रिपोर्ट हर साम 5 बजे आपके मोबाल बानी पर धन्यवाद,3.692
01-06596-02,whisper,gramvaani,telephony,N/A,किसानो को बोनस नहीं दी दी इस तरह बिहार के किसानो किसानो की आर्थिक स्थिति स्थिति अन्य राज्यों की तुलना में काफी दयनीय है इसके लिए यह सरकार काफी जिम्मेवार है धन्यवाद,इस तरह बिहार की किसानों कानों की आपसे किसी किसी किसी अनलाजें की तुलना में काफी देवी है इसके लिए यह सरकार काफी जिमेवार है,5.468
01-04132-03,whisper,gramvaani,telephony,N/A,वन डब ऐट डबल जीरो द्वारा सोलह मार्च दो हजार सोलह को अनुसूचित जाती का प्रमाणपत्र हासिल कर चुनाव में आरक्षण का फायदा ले लिया श्री,वाला द्वारा तोलर मार्च 2014 को अनुसुचित जाति का प्रमान पत्र हासिल कर चुनाव में आरक्षन का फायदा ले लिया,4.949
01-11742-01,whisper,gramvaani,telephony,N/A,कर्मचारी राज्य बीमा योजना ना तथा एन पी एस के पास नए सदस्यों के नामांकन पर आधारित हैं हैं रिपोर्ट के अनुसार सितम्बर दो हज़ार सतरह से,कर्मचारी राज्य वीमा योजना तता NPS के पास नए सदस्यों के नामंकन पर आधारित है रिपोर्ट के अनुसार सितंबर 2017 से,5.097
01-05071-03,whisper,gramvaani,telephony,N/A,एक ऐसा कुछ अधिकर्मियों की गलती मान लो चाहे कुछ किसानों की गलती मान लो तो जरूरी नहीं है कि पूरे मध्य प्रदेश में हमारे सभी किसानों ने बीमा,कि ऐसा कुछ अभी कार्यों की गलती मान लो चाहे कुछ किसानों की गलती मान लो तो जरूर नहीं है कि पूरे मद्द पर जरूर से हमारे सभी किसानों ने बीमा,6.193
13-00272-06,whisper,gramvaani,telephony,N/A,में की बोली गयी है कि बारह बजे दिन से से दो बजे तक ही ताजिया,अपिरिमेटी बुली गई है कि 12 वज़े दिन से 2 वज़े तक भी ताजिया,3.212
01-12107-01,whisper,gramvaani,telephony,N/A,ने छात्र को को इस आधार पर अनुमति दी है कि उसने दो हज़ार अठारह रा राष्ट्रीय पात्रता एवं प्रवेश परीक्षा क्षा असक्षम लोगों के वर्ग में पास की है,ने छात्रकोप को इस आधार पर अनुमती दी है कि उसने 2018 राष्ट्री पात्रता एवं प्रवेश परिक्षा असक्षम लोगों के वर्ग में पास की है।,5.96
01-11453-01,whisper,gramvaani,telephony,N/A,रेलवे में गेट मैन के लिए एक हज़ार चार सौ उनासी पदों के लिए करें अप्लाई ख़बर है पटना से पूर्व मध्य रेल ने एक हज़ार चार सौ उनासी पदों के लिए,रिल्वे में गेटमैन के लिए 1489 पदों के लिए करे अपलाई खबर है पतना से पूर्वमदे रेल ने 1489 पदों के लिए,4.955
01-01599-03,whisper,gramvaani,telephony,N/A,की बहुत सी तरह की बीमारियाँ जो उत्प्न्न होती हैं जो की किसान भाई लोग काफ़ी दुःख छूटे हुए हैं और ऐसे ही मतलब बहुत सारे किसान हैं लेकिन फिर भी ये उर्वरक हमेशा डालतें हैं और आज तक हमारी झारखण्ड सरकार हैं की कुछ,बहुत सी तरह की जिमानियां को उत्तम होती है जो कि किसान भाई लोग काफी डूब चुके हुए हैं और ऐसे ही मतलब बहुत सारे किसान हैं लेकिन फिर भी इन उड़ोरत्स हमेशा डालते हैं और आज तक हमारी धारकंड सिर्कार ऐसी,8.805
01-10772-03,whisper,gramvaani,telephony,N/A,योजना लागू किए जाने पर आम लोगों ने सरकार व ज़िला प्रसाशन को बधाई भी दी और अब समाचार खेल से,प्रशासन को बधाई भी दी और अब समचार खेल से,2.352
